"Username","DisplayName","GroupCount","Groups"
"eocitsunit","eocitsunit,","7","O365_License_Group_EOCSituationRoom; MFA_Require; Public Safety Emergency Management Situation Room Login Script; EOC Activation Shared Folder Access; EOC-ALL ACTIVATIONS; Public Safety Situation Room Users; Screensaver Disable"
"eocgis3","eocgis3,","7","O365_License_Group_EOCSituationRoom; MFA_Require; Public Safety Emergency Management Situation Room Login Script; EOC Activation Shared Folder Access; EOC-ALL ACTIVATIONS; Public Safety Situation Room Users; Screensaver Disable"
"eoccctunit","eoccctunit,","7","O365_License_Group_EOCSituationRoom; MFA_Require; Public Safety Emergency Management Situation Room Login Script; EOC Activation Shared Folder Access; EOC-ALL ACTIVATIONS; Public Safety Situation Room Users; Screensaver Disable"
"eocairopstacgrpsup","eocairopstacgrpsup,","7","O365_License_Group_EOCSituationRoom; MFA_Require; Public Safety Emergency Management Situation Room Login Script; EOC Activation Shared Folder Access; EOC-ALL ACTIVATIONS; Public Safety Situation Room Users; Screensaver Disable"
"eoccountymgr","eoccountymgr,","7","O365_License_Group_EOCSituationRoom; MFA_Require; Public Safety Emergency Management Situation Room Login Script; EOC Activation Shared Folder Access; EOC-ALL ACTIVATIONS; Public Safety Situation Room Users; Screensaver Disable"
"eocmutualaid","eocmutualaid,","7","O365_License_Group_EOCSituationRoom; MFA_Require; Public Safety Emergency Management Situation Room Login Script; EOC Activation Shared Folder Access; EOC-ALL ACTIVATIONS; Public Safety Situation Room Users; Screensaver Disable"
"eocplansassistant","eocplansassistant,","7","O365_License_Group_EOCSituationRoom; MFA_Require; Public Safety Emergency Management Situation Room Login Script; EOC Activation Shared Folder Access; EOC-ALL ACTIVATIONS; Public Safety Situation Room Users; Screensaver Disable"
"eocleecontrol","eocleecontrol,","7","O365_License_Group_EOCSituationRoom; MFA_Require; Public Safety Emergency Management Situation Room Login Script; EOC Activation Shared Folder Access; EOC-ALL ACTIVATIONS; Public Safety Situation Room Users; Screensaver Disable"
"eochealthmedgs","eochealthmedgs,","7","O365_License_Group_EOCSituationRoom; MFA_Require; Public Safety Emergency Management Situation Room Login Script; EOC Activation Shared Folder Access; EOC-ALL ACTIVATIONS; Public Safety Situation Room Users; Screensaver Disable"
"eochealthcare","eochealthcare,","7","O365_License_Group_EOCSituationRoom; MFA_Require; Public Safety Emergency Management Situation Room Login Script; EOC Activation Shared Folder Access; EOC-ALL ACTIVATIONS; Public Safety Situation Room Users; Screensaver Disable"
"eocares","eocareseocares","7","O365_License_Group_EOCSituationRoom; MFA_Require; Public Safety Emergency Management Situation Room Login Script; EOC Activation Shared Folder Access; EOC-ALL ACTIVATIONS; Public Safety Situation Room Users; Screensaver Disable"
"eocpiosm2","eocpiosm2","7","O365_License_Group_EOCSituationRoom; MFA_Require; Public Safety Emergency Management Situation Room Login Script; EOC Activation Shared Folder Access; EOC-ALL ACTIVATIONS; Public Safety Situation Room Users; Screensaver Disable"
"eocdepic","eocdepic","7","O365_License_Group_EOCSituationRoom; MFA_Require; Public Safety Emergency Management Situation Room Login Script; EOC Activation Shared Folder Access; EOC-ALL ACTIVATIONS; Public Safety Situation Room Users; Screensaver Disable"
"eocpiosm3","eocpiosm3,","7","O365_License_Group_EOCSituationRoom; MFA_Require; Public Safety Emergency Management Situation Room Login Script; EOC Activation Shared Folder Access; EOC-ALL ACTIVATIONS; Public Safety Situation Room Users; Screensaver Disable"
"eocpiosm1","eocpiosm1","7","O365_License_Group_EOCSituationRoom; MFA_Require; Public Safety Emergency Management Situation Room Login Script; EOC Activation Shared Folder Access; EOC-ALL ACTIVATIONS; Public Safety Situation Room Users; Screensaver Disable"
"eoclcdot","eoclcdot,","7","O365_License_Group_EOCSituationRoom; MFA_Require; Public Safety Emergency Management Situation Room Login Script; EOC Activation Shared Folder Access; EOC-ALL ACTIVATIONS; Public Safety Situation Room Users; Screensaver Disable"
"eocsheltergrpsup","eocsheltergrpsup","7","O365_License_Group_EOCSituationRoom; MFA_Require; Public Safety Emergency Management Situation Room Login Script; EOC Activation Shared Folder Access; EOC-ALL ACTIVATIONS; Public Safety Situation Room Users; Screensaver Disable"
"eocparksrec","Parks & Recreation EOC","2","O365_License_Group_EOCSituationRoom; MFA_Require"
"EOCLEGAL","County Legal EOC","2","O365_License_Group_EOCSituationRoom; MFA_Require"
"EOCANIMALSERVICES","Animal Services EOC","2","O365_License_Group_EOCSituationRoom; MFA_Require"
"EOCFINADM2","AdminFinance2 EOC","2","O365_License_Group_EOCSituationRoom; MFA_Require"
"EOCPIO","Public Information Officer EOC","2","O365_License_Group_EOCSituationRoom; MFA_Require"
"EOCFINADM1","AdminFinance1 EOC","2","O365_License_Group_EOCSituationRoom; MFA_Require"
"EOCVCB","Visitors Convention Bureau EOC","2","O365_License_Group_EOCSituationRoom; MFA_Require"
"EOCEMS","EMS Agency Rep EOC","2","O365_License_Group_EOCSituationRoom; MFA_Require"
"EOCFLEET","Fleet EOC","2","O365_License_Group_EOCSituationRoom; MFA_Require"
"eocfacilities","Facilities EOC","2","O365_License_Group_EOCSituationRoom; MFA_Require"
"eocpods","PODS EOC","2","O365_License_Group_EOCSituationRoom; MFA_Require"
"EOCNATURALRESOURCES","Natural Resources","2","O365_License_Group_EOCSituationRoom; MFA_Require"
"EOCGIS2","G.I.S. Specialist 2","2","O365_License_Group_EOCSituationRoom; MFA_Require"
"EOCLCDOT2","Lee County D.O.T. 2","2","O365_License_Group_EOCSituationRoom; MFA_Require"
"EOCSPMNSHELTER","FDOH Special Needs Shelter","2","O365_License_Group_EOCSituationRoom; MFA_Require"
"EOCMASSFEEDING","Mass Feeding","2","O365_License_Group_EOCSituationRoom; MFA_Require"
"EOCLEETRAN","LeeTran","2","O365_License_Group_EOCSituationRoom; MFA_Require"
"EOCSOLIDWASTE","Solid Waste EOC","2","O365_License_Group_EOCSituationRoom; MFA_Require"
"eocutilities","Utilities EOC","2","O365_License_Group_EOCSituationRoom; MFA_Require"
